                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                   0.61,                0.45426,                0.92749,                0.98597,                0.98765,                0.98499,                0.85583,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.64419,                0.49088,                0.93241,                0.97336,                0.98765,                 0.9843,                0.84694,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.66352,                0.49663,                0.95209,                0.98254,                0.98765,                 0.9852,                0.85239,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.62807,                0.47682,                0.94668,                0.97482,                0.98765,                 0.9845,                0.85079,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                 0.6416,                0.46535,                0.94019,                0.98715,                0.97531,                0.98474,                0.85175,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.65192,                0.46578,                0.94202,                0.97426,                0.97531,                0.98572,                  0.865,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.64014,                 0.4684,                0.93763,                0.97558,                0.98642,                  0.986,                0.87638,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.61075,                0.43197,                0.92979,                0.97501,                0.98765,                0.98583,                0.84407,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.61926,                0.45227,                0.93237,                 0.9756,                0.98705,                0.98694,                0.84812,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.62018,                0.43972,                0.93118,                0.99142,                0.97531,                0.98695,                 0.8426,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.58243,                0.42608,                0.92376,                0.98553,                0.98765,                0.98677,                0.84531,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.60185,                0.41988,                0.93773,                 0.9954,                0.98765,                0.98674,                0.84785,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.64837,                0.44881,                0.94221,                0.99367,                0.97531,                0.98639,                0.85709,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.61133,                0.43629,                 0.9334,                0.97431,                0.97531,                0.98467,                0.85847,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.57327,                0.41862,                0.92465,                0.97431,                0.97531,                0.98201,                0.86121,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                 0.5736,                0.40772,                0.92447,                0.98473,                0.97531,                0.98453,                0.85194,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.56342,                0.40239,                0.90624,                0.98475,                0.97531,                0.98489,                0.85979,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.57202,                0.40517,                0.92606,                0.99502,                0.97531,                 0.9848,                0.86046,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.56405,                0.41969,                0.92187,                0.98904,                0.97531,                0.98653,                0.86844,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.55386,                0.38782,                0.92802,                0.98629,                0.98765,                0.98686,                 0.8606,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.55811,                 0.4022,                0.91775,                0.97475,                0.98765,                0.98684,                0.86861,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.55013,                0.38762,                0.92102,                0.97507,                0.98765,                0.98709,                0.86421,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.56055,                0.39993,                0.91556,                0.98685,                0.98765,                0.98746,                0.86453,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.58022,                0.40254,                0.91344,                0.98671,                0.98765,                0.98722,                0.85867,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                 0.4824,                0.33832,                0.85039,                0.98719,                0.98765,                0.98706,                0.85383,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                 0.4739,                0.34544,                0.84989,                0.99419,                0.98765,                0.98701,                0.85109,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.48811,                   0.35,                0.85529,                0.98685,                0.98765,                0.98712,                0.85168,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.44897,                 0.3278,                0.84585,                0.97459,                0.98765,                0.98706,                0.85963,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                 0.4703,                0.34153,                0.85855,                      1,                0.97406,                 0.9873,                0.86534,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.46639,                0.32724,                0.83476,                      1,                0.98744,                0.98755,                0.85851,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.44748,                0.32474,                 0.8389,                0.99814,                0.98765,                0.98744,                0.86174,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.43383,                0.31533,                0.84164,                0.99965,                0.98765,                0.98739,                0.86204,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.44613,                0.32119,                0.83642,                0.98762,                0.98483,                0.98732,                 0.8641,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.42887,                0.31738,                0.83836,                0.98765,                0.98737,                0.98737,                 0.8654,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
